Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Care (product.metafields.custom.care),Description (product.metafields.custom.description1),description (product.metafields.custom.description2),free shipping in the USA (product.metafields.custom.free_shipping_in_the_usa),HID (product.metafields.custom.hid),materials  (product.metafields.custom.materials_),Measurments (product.metafields.custom.measurments),placemats (product.metafields.custom.placemats),Related Size - Large (product.metafields.custom.related_size_large),Related Size - Medium (product.metafields.custom.related_size_medium),shipping and returns  (product.metafields.custom.shipping_and_returns),TINUUID (product.metafields.custom.tinuuid),Care guide (product.metafields.descriptors.care_guide),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Cover color (product.metafields.shopify.cover-color),Cover material (product.metafields.shopify.cover-material),Fabric (product.metafields.shopify.fabric),Shape (product.metafields.shopify.shape),Throw pillow shape (product.metafields.shopify.throw-pillow-shape),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
printed-throw-pillows-oceane-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/UntitledSession292444_SMALL_58b3156b-c95c-498e-801b-f7800e37256e.jpg?v=1762434636,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
printed-throw-pillows-oceane-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/lifestyle-shot-ae471ced-1fee-4978-b1ef-312db5a2dd83.jpg?v=1762434636,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
printed-throw-pillows-oceane-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/lifestyle-shot-e4e67cfb-097b-4081-9ef6-0067550b095c.jpg?v=1762434637,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
printed-throw-pillows-sunset-colors,Printed Two-sided Throw Pillow- Sunset Colors,"<p><meta charset=""utf-8"">Inspired by classic tablecloths, the Knot prints blend the aesthetics of weaving and knotting with traditional tablecloth designs. The result is vibrant, two-sided prints that make a bold statement in any space.</p>",Knots Studio,Home & Garden > Decor > Throw Pillows,pill,"",true,Title,Default Title,,,,,,,,,300.0,shopify,deny,manual,72.50,,true,false,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/files/e8ef5653-71f7-47a0-9727-0b4f6182c08c.jpg?v=1761744645,1,"",false,,,,,,,,,,,,,,,,,,,100% Cotton,"16""x16"" H-6""",,,,,,Machine wash cold (30°C). Do not tumble dry. Air dry in shade.,,,,,,,,,,,,,,,kg,,,active
printed-throw-pillows-sunset-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/lifestyle-shot-6ee0a4e7-7059-4039-a018-bf7490588cfa.jpg?v=1761744621,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
printed-throw-pillows-sunset-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/UntitledSession292443_SMALL_bf7fef63-25a5-4282-b491-56d627a26bba.jpg?v=1761744621,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
printed-throw-pillows-sunset-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/UntitledSession292441_SMALL_371ff4db-1a42-4386-a5a0-d926bc6682d8.jpg?v=1761744621,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-velvet-woven-bench-120-cm-with-small-defects,Purple Velvet Woven Bench- 120 cm- with small defects,"<p>The woven bench is a meticulously crafted piece that adds a playful yet sophisticated touch to any entryway or living area. Using a unique weaving technique, this handmade bench combines soft velvet fabric and durable Beechwood for both aesthetic and functional value that will endure for years to come.<strong data-mce-fragment=""1""></strong></p>",Knots Studio,Furniture > Benches,Woven bench,"",false,Size,120 cm,,,,,,,,,9000.0,shopify,deny,manual,350.00,,true,true,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/products/Purple_1170b613-2363-4a87-aea4-5ce62bef393b.jpg?v=1655629960,1,"",false,,"Born of appreciation for elegance, the weaved bench is a handmade piece that brings a sculptural, playful air to any entryway or living space.

Each bench is crafted with care using a weaving technique that blends fine velvet fabric and natural Beechwood that is beautiful, functional and lasts for years.",,,,,,,,,,,,,,,,,"Beech wood, Stiff foam, Polyester Velvet fabric","Width: 94X32 cm / 37X12.5 inch | 120X32 cm / 47X12.5 inch
Height: 50 cm / 19.5 inch   ",,,,"Domestic Shipping (USA) All items ship directly from our US warehouse. Once we notify you that your order has shipped, standard delivery takes 5-7 business days. With over a decade of shipping experience, we guarantee your order will arrive safely.

International Shipping We offer worldwide shipping with the following estimated delivery times:

USA- 5-7 days
Europe :5-7 days
Asia: 7-10 days
Rest of world: 7-14 business days
Returns: We accept returns within 30 days of delivery. Please note that final sale items are ineligible for return.

How to Initiate a Return: If you decide to return your item, please contact us within 30 days of delivery by emailing info@knots-studio.com. We'll send you a prepaid shipping label to make the process easy.

Return Process: Returns for store credit and exchanges are free. Items must be in new, undamaged condition. They also must be returned in original, protective packaging to ensure your return arrives safe and sound.

Once you ship the item back using our provided label and it arrives at our warehouse, our team will inspect it to ensure everything is in perfect condition.

Refunds: Once the item is collected and inspected, your refund will be processed to the original form of payment. Please note:

Return shipping costs will be deducted
A $10 processing fee applies to all refunds
Store credit and exchanges are free from these fees

Important Information for International Customers Please be aware that customs duties and import taxes may apply to US and international orders. Buyers are responsible for any applicable customs fees, import duties, or taxes imposed by their local government.

We recommend checking with your local customs office before placing an order to understand potential additional costs. Please note that we cannot control or be held responsible for customs delays or associated fees.",,Spot clean with cold water and mild soap. Vacuum once a week to keep the cushion fresh and clean. ,,,,,,,,,,l-emerald-green-velvet-knot-floor-cushion; l-hot-cherry-knot-floor-cushion; copy-of-l-hull-busket-in-stone-vegan-suede; l-royal-blue-velvet-knot-floor-cushion; m-black-velvet-knot-floor-cushion; m-burnt-orange-velvet-knot-floor-cushion; black-velvet-woven-stool-1; burnt-orange-velvet-knot-stool; emerald-green-velvet-knot-bar-stool-1,,,,,kg,,,draft
purple-velvet-woven-bench-120-cm-with-small-defects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/products/Purple2_34400634-5f16-4add-bc5f-ae84d47a0ab6.jpg?v=1655629985,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-velvet-woven-bench-120-cm-with-small-defects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/products/Purple3.jpg?v=1655630006,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-ivory-knot-floor-cushion-copy,(M) Ivory Knot Floor Cushion,"<p> </p>
<p><span>Rich, luxe and always elegant, velvet is our new favourite thing.</span><span> </span><span>A</span><span>dd a slice of style to your home with the help of our gorgeously knot floor cushions.</span><span> </span>These floor cushions are beautiful and functional. The wooden rings, that tie the cushion together are hand made by our wonderful wood turner.<span><strong></strong></span></p>",knots studio,Home & Garden > Decor > Ottoman Cushions,Medium knot cushion,"",false,Title,Default Title,,,,,,,,,4000.0,shopify,deny,manual,465.00,,true,true,,,,,FALSE,https://cdn.shopify.com/s/files/1/1129/5340/files/IVORYL2.jpg?v=1746873470,1,"",false,,This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun,,,,,,,,,,,,,,This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun,,681f5fe9,"Beech wood, stiff foam filling, upholstery materials, polyester velvet fabric.","Size: 55X55 cm / 22X22 inch
Height: 35 cm / 14 inch",,,,,caToeVo8Q0-GZiz7jcxP8g,Spot clean with cold water and mild soap. Vacuum once a week to keep the cushion fresh and clean. ,,,,,,,,,,,,,,,kg,,,draft
m-ivory-knot-floor-cushion-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/IVORYL.jpg?v=1746873470,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-ivory-knot-floor-cushion-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/IVORY3.jpg?v=1746873470,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citron-velvet-knot-pillow-1,Citron Velvet Knot Pillow,"<p>Bring luxury and elegance to any room with our perfectly crafted knot pillows. Each pillow is designed for ultimate softness and style, making it the perfect addition to any home decor.</p>",knots studio,Home & Garden > Linens & Bedding > Bedding > Pillows,Knot Pillow,"",true,Title,Default Title,,,,,,,,,300.0,shopify,deny,manual,125.00,,true,true,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/files/citronpillow.jpg?v=1749728828,1,"",false,,,,,,,,,,,,,,,,,,,"Foam, Upholstery materials, Velvet Polyester fabric.","Size: full Length: 55X55cm/ 21.6X21.6 inch
 Height:15 cm / 6 inch",,,,"Domestic Shipping (USA) All items ship directly from our US warehouse. Once we notify you that your order has shipped, standard delivery takes 5-7 business days. With over a decade of shipping experience, we guarantee your order will arrive safely.

International Shipping We offer worldwide shipping with the following estimated delivery times:

USA- 5-7 days
Europe :5-7 days
Asia: 7-10 days
Rest of world: 7-14 business days
Returns: We accept returns within 30 days of delivery. Please note that final sale items are ineligible for return.

How to Initiate a Return: If you decide to return your item, please contact us within 30 days of delivery by emailing info@knots-studio.com. We'll send you a prepaid shipping label to make the process easy.

Return Process: Returns for store credit and exchanges are free. Items must be in new, undamaged condition. They also must be returned in original, protective packaging to ensure your return arrives safe and sound.

Once you ship the item back using our provided label and it arrives at our warehouse, our team will inspect it to ensure everything is in perfect condition.

Refunds: Once the item is collected and inspected, your refund will be processed to the original form of payment. Please note:

Return shipping costs will be deducted
A $10 processing fee applies to all refunds
Store credit and exchanges are free from these fees

Important Information for International Customers Please be aware that customs duties and import taxes may apply to US and international orders. Buyers are responsible for any applicable customs fees, import duties, or taxes imposed by their local government.

We recommend checking with your local customs office before placing an order to understand potential additional costs. Please note that we cannot control or be held responsible for customs delays or associated fees.",,Spot clean with cold water and mild soap. Vacuum once a week to keep the pillow fresh and clean.                      ,,,,,,,,,,,,,,,kg,,,active
citron-velvet-knot-pillow-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/2V8A0006.jpg?v=1749728828,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citron-velvet-knot-pillow-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/2V8A9979_copy.jpg?v=1749728828,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citron-velvet-knot-pillow-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/2V8A9995_copy.jpg?v=1749728828,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citron-velvet-knot-pillow-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/2V8A8125_copy.jpg?v=1749728828,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
