App Name,Description,Industry/Field
Jerry.ai Car Insurance & Care,Insurance & Repair Estimates,Insurance / Auto
Jinko,Find Where and When to Travel,Travel / Planning
Klarna Shopping Search,"Find products, compare prices",E-commerce / Shopping
Kleinanzeigen,Echte Deals. Echte Menschen. (Real deals. Real people),E-commerce / Classifieds (Germany)
Klook,Find travel things-to-do,Travel / Activities
komoot,Find outdoor sport routes,Outdoors / Navigation
Krikey AI Animation,Animate Music Videos,Creative / AI Animation
Lambus,Plan trips together,Travel / Planning
lastminute.com,Find and book flights,Travel / Flights
Little Caesars,Plan and place your order!,Food / Quick Service Restaurant
Loft,Find your next property,Real Estate
Lowe's,Home improvement products,Retail / Home Improvement
Lugg,On-demand movers and trucks,Logistics / Moving
MakeMyTrip,"Discover & book flights, hotels",Travel / Booking (India)
Malwarebytes,"Verify links, domains, phones",Cybersecurity
MangaBoom,Turn Text & Chat into Comics,Creative / Comics
MyRegistry.com,"All Stores, One Registry®",E-commerce / Gift Registry
Omio,Book trains, buses & flights,Travel / Multi-modal
Peloton,Discover Peloton workouts,Fitness
Penny,"Shop deals, track prices",E-commerce / Deals
PGA – Play Golf,Find a golf coach,Sports / Golf
Popeyes,Find Popeyes store information,Food / Quick Service Restaurant
Priceline,Find hotel and travel deals,Travel / Booking
Printify,Design and order custom gifts,E-commerce / Print-on-demand
QuintoAndar,Find your ideal home,Real Estate (Brazil)
realestate.com.au,Search Australian property,Real Estate (Australia)
Recorrido,Find and compare bus tickets,Travel / Bus Tickets
redBus,Inter-city Bus Search,Travel / Bus Tickets
Redfin,Find and tour homes for sale,Real Estate
Regal,Find Regal theatres and shows,Entertainment / Movies
RentCafe,Search apartments for rent,Real Estate / Rentals
RIFO Home,Find Homes to Buy and Rent,Real Estate
Rome2Rio,Discover how to get anywhere,Travel / Multi-modal
SeatGeek,Buy event tickets,Entertainment / Tickets
Shazam,Identify songs instantly,Music / Identification
Shipt,Same-day grocery delivery,Grocery Delivery
Skyscanner,Find cheap flights,Travel / Flights
Softonic,Search and discover software,Software / Discovery
SparkSpot,Find parking spots,Transportation / Parking
Spotify,Music and podcasts for you,Music / Streaming
Standvirtual,Your dream car in Standvirtual,Automotive / Marketplace (Portugal)
Starbucks,Find your new favorite drink,Food & Beverage / Coffee
StubHub,Browse events and find tickets,Entertainment / Tickets
Target,"Style, decor, beauty, and more",Retail / Department Store
Tarot,Tarot Reading & Divination,Spirituality / Divination
The Knot,Discover wedding vendors,Weddings
Thumbtack,Hire local pros,Services / Local Pros
Ticketmaster,Search Ticketmaster For Events,Entertainment / Tickets
tiket.com,Find flights and hotels,Travel / Booking (Indonesia)
Tillys,"Shop clothing, Shoes & Accessories",Retail / Apparel
Tonita,Apparel and accessories search,Retail / Apparel
Tourlane,Plan multi-day trips,Travel / Planning
TourRadar,Find multiday tours & packages,Travel / Tours
Tripadvisor,Book top-rated hotels,Travel / Reviews & Booking
Turo,Search Turo car rentals,Travel / Car Rental
Uber,Ride price and ETA estimates,Transportation / Rideshare
Uber Eats,Explore restaurants and dishes,Food Delivery
Updater Internet Store,Find internet and TV plans,Telecom / Utilities
Viator,Find travel experiences,Travel / Activities
Vio.com,Booking hotels & travel deals,Travel / Hotels
Virgin Atlantic,Search flights in chat,Travel / Airline
Vivid Seats,Shop tickets to live events,Entertainment / Tickets
WeatherPromise,Get paid if it rains,Insurance / Weather
Wego,Compare flights & hotels,Travel / Booking
Wikiloc,Your perfect trail. Just ask,Outdoors / Trails
Wyndham Hotels & Resorts,Book thousands of hotels,Travel / Hotels
Zen Shopping,"Smart shopping, all stores",E-commerce / Shopping
Zillow,"Buy, rent, and sell homes",Real Estate
Zola,Find wedding vendors,Weddings
Zumba,Find Zumba classes,Fitness / Dance
Zumper,Find your perfect rental,Real Estate / Rentals
아모레몰 AMORE MALL,공식 브랜드 쇼핑부터 스마트 뷰티 케어까지 (Official brand shopping to smart beauty care),Beauty / E-commerce (Korea)
요기요 (Yogiyo),배달할 때마다 포인트 적립 (Earn points with every delivery),Food Delivery (Korea)
GitHub,"Access repositories, issues, and pull requests. Required for some features such as Codex",Developer Tools / Code
Gmail,Find and reference emails from your inbox,Productivity / Email
Google Calendar,Look up events and availability,Productivity / Calendar
Google Contacts,Reference saved contact details,Productivity / Contacts
Google Drive,"Work with Google Docs, Sheets, and Slides",Productivity / Cloud Storage
Outlook Calendar,Look up events and availability,Productivity / Calendar
Outlook Email,Search and reference your Outlook email,Productivity / Email
SharePoint,Search and pull from shared sites and OneDrive,Productivity / Document Management
Teams,Look up chats and messages,Productivity / Communication
Ace Knowledge Graph,Turn Docs & Topics to Graphs,Education / Knowledge
Ace Quiz Maker,Turn PDFs & Notes to Quizzes,Education / Study Tools
Adalo,Build and manage no-code apps,No-code / App Development
Adobe Acrobat,Edit and organize PDFs easily,Productivity / PDF
Adobe Express,"Design posts, flyers, and more",Creative / Design
Adobe Photoshop,Edit & transform your images,Creative / Image Editing
AI Voice Generator,Create AI voiceovers,Creative / AI Audio
Aiera,Finance data for professionals,Finance / Data
Airtable,Add structured data to ChatGPT,Productivity / Database
Alpic,Monitor your MCP App & server,Developer Tools / Monitoring
Amplitude,Search and analyze analytics data,Analytics / Product
AnyPDF - Your PDF Converter,Convert and edit PDFs easily,Productivity / PDF
Apixel,AI image generation,Creative / AI Image
ApplyBoard,Find educational programs,Education / Study Abroad
Asana,Turn chats into actions,Productivity / Project Management
Assessment Generator,Create quizzes and assessments,Education / Assessment
Atlassian Rovo,Read/write Jira & Confluence,Productivity / Project Management
Awesome Slides,Slides with video & voiceover,Productivity / Presentations
B12 Website Generator,Create a website in seconds,Web Development / AI
Bankrate,Browse savings products,Finance / Personal Finance
Base44,Build Apps with AI,No-code / App Development
Beautiful.ai,Turn ideas into presentations,Productivity / Presentations
BlueConic Solutions Finder,Find the marketing growth play,Marketing
BluTranslate,Translate PDFs and documents,Translation
Botlab,Make calls & verify info,Voice AI / Verification
Botpress,Production-ready AI agents,AI Agents / Chatbots
Box,Securely access Box content,Cloud Storage / Enterprise
Brand24,Analyze online discussions,Marketing / Social Listening
Brex,Automate expense workflows,Finance / Expense Management
Canva,"Search, create, edit designs",Creative / Design
Carta CRM,"Find deals, investors, notes",Finance / VC CRM
CB Insights,Predictive intelligence,Finance / Market Intelligence
Circleback,Access context from meetings,Productivity / Meetings
Clay,Find and engage prospects,Sales / Prospecting
ClickUp,"Automate projects, docs, reports",Productivity / Project Management
Cloudinary,"Manage, modify, and host your images & videos",Developer Tools / Media
Common Room,Find contacts and accounts,Sales / CRM
Consensus,Explore scientific research,Research / Academic
Coursera,Skill-building course videos,Education / Online Learning
Cube,Analyze your financial data,Finance / FP&A
Daloopa,Financial KPIs with links,Finance / Data
DataCamp,Learn AI and Coding Skills,Education / Online Learning
DEWA,"View bills, services and more",Utilities (Dubai)
Dex,Manage your Dex CRM,CRM / Personal
Docket,Your product knowledge expert,Sales / Product Knowledge
"Domotz (Preview)",Monitor and manage networks,IT / Network Monitoring
Dow Jones Factiva,Access global business news,News / Business
Dropbox,"Access, save and share files",Cloud Storage
Dropbox Dash,AI that understands your work,AI / Workplace Search
edX,Learn new skills online,Education / Online Learning
Egnyte,Find and analyze your files,Cloud Storage / Enterprise
EMPLOYERS,Get a workers' comp quote,Insurance / Workers Comp
Enhancv,PDF Resume Templates,HR / Resumes
Ethos,Protect your family in minutes,Insurance / Life
Figma,Make diagrams and slides,Design / Collaboration
Formbyte,"Create, share, analyze forms",Productivity / Forms
Fotocasa,Find properties to buy or rent,Real Estate (Spain)
Fyxer,Write emails in your voice,Productivity / Email AI
Gamma,Create presentations and docs,Productivity / Presentations
Genspark AI Slides,Professional presentations,Productivity / Presentations
GoDaddy,Find your dream domain,Web / Domains
GovTribe,Search US gov contracts & bids,Government / Procurement
Granola,Add your meeting context,Productivity / Meetings
Gusto,Run payroll and team insights,HR / Payroll
Habitify,Build new habits & routines,Productivity / Habits
Helium 10,Seller Tools | Helium 10,E-commerce / Amazon Tools
Hex,"Ask questions, run analyses",Data Science / Analytics
HeyGen,Create videos from text,Creative / AI Video
HighLevel,Interact with your CRM business data,CRM / Marketing
HubSpot,Insights to action in HubSpot,CRM / Marketing
Hugging Face,"Inspect models, datasets, Spaces, and research",AI / ML Platform
Imovirtual,Find real estate in Portugal,Real Estate (Portugal)
Indeed,Find jobs tailored for you,HR / Job Search
Internshala,Find internships & jobs,HR / Job Search (India)
Intuit Credit Karma,Credit insights & offers,Finance / Credit
Intuit Mailchimp,Create marketing campaigns,Marketing / Email
Intuit QuickBooks,Business finances made simple,Finance / Accounting
Intuit TurboTax,"Tax estimates, prep & experts",Finance / Taxes
invideo,Create videos of any length,Creative / Video
italki language learning,"Find tutors, classes & tests",Education / Language Learning
Jam,Screen record with context,Developer Tools / Bug Reports
Jimdo,Create your website,Web Development
Jotform,"Build forms, analyze responses",Productivity / Forms
Khan Academy,Create K-12 math exercises,Education / Math
Klaviyo,Get insights on your marketing,Marketing / Email & SMS
Kraken,Find news about crypto assets,Finance / Crypto
LeapScholar,Search Uni programs abroad,Education / Study Abroad
LegalZoom,Get legal info for business,Legal / Business Formation
Linear MCP Server,Plan and build products,Productivity / Project Management
Linkly URL Shortener,URL Shortener for Marketers,Marketing / Links
Linktree,Find creators on Linktree,Social / Bio Links
LONA Trading Assistant,Optimize trading strategies,Finance / Trading
Lovable,Build apps and websites,No-code / AI Development
Lucid,"Ideate, diagram & align teams",Productivity / Diagramming
Manus,"Create slides, websites, video",AI Agent / Multi-task
MarcoPolo,Secure workspace for your data,Productivity / Workspace
McAfee,Real-time scam protection,Cybersecurity
Medeloop Grants,Find and apply for NIH grants,Research / Grants
Mem,Save & Search Notes & Meetings,Productivity / Notes
Mixpanel,Query and analyze Mixpanel,Analytics / Product
Monday.com,Manage work in monday.com,Productivity / Project Management
Moody's,Detailed company and risk data,Finance / Risk Data
Morningstar,Live market insights,Finance / Investment Data
MotherDuck,Get answers from your data,Data / Analytics
MT Newswires,Real-Time financial news,News / Finance
Namecheap,Search domains & pricing,Web / Domains
Neon Postgres,Manage Neon Postgres databases,Developer Tools / Database
Neptune Flood,Quote Flood Insurance,Insurance / Flood
Netlify,Build and deploy on Netlify,Developer Tools / Hosting
Network Solutions,"Search, check & secure domains",Web / Domains
Norton,Verify scams from web & email,Cybersecurity
Notion,"Create docs, tasks, databases",Productivity / Workspace
Otomoto,Find your dream car in Otomoto,Automotive / Marketplace (Poland)
Outliner,Create & Edit Outlines,Productivity / Writing
PayPal,Payments and business tools,Finance / Payments
Pazy,Find your funeral plan,Insurance / Funeral
Pendo,For Product Analytics,Analytics / Product
PitchBook,Faster workflows with market intelligence,Finance / Market Intelligence
Preply Language Tutor Finder,Find language tutors,Education / Language Learning
Pylon,Manage Pylon support issues,Customer Support
Quartr,AI-powered company research,Finance / Research
Quicknode,Quicknode for OpenAI Builders,Developer Tools / Blockchain
Quizlet,Create flashcards,Education / Study Tools
Ramp,Automate finance tasks,Finance / Expense Management
Ranked AI,Manage your SEO & PPC,Marketing / SEO
Readwise,"Save, read, search, and learn",Productivity / Reading
Remitly,Plan remittances,Finance / Money Transfer
Replit,Turn your ideas into real apps,Developer Tools / IDE
Retell AI,Build and deploy voice agents,AI / Voice Agents
S&P Global,Query S&P Global data,Finance / Market Data
SciSpace,Get help with research tasks,Research / Academic
Scite,Answers grounded in science,Research / Academic
Scrimba,Interactive coding videos,Education / Coding
Semrush,Research keywords & traffic,Marketing / SEO
Serpstat,SEO data and keyword research,Marketing / SEO
Shutterstock,Spark ideas with Shutterstock,Creative / Stock Media
Sider Recorder & Transcriber,"Record, Transcribe, Summarize",Productivity / Transcription
Sider Scholar,Search 350M+ Paper. Save. Chat,Research / Academic
Simply Business,Find small business insurance,Insurance / Business
Skillshare,Find creative classes by chat,Education / Creative
Slack,Send messages and fetch data,Productivity / Communication
SlidesGPT,Make presentations and slides,Productivity / Presentations
Smallpdf,Everything you need for PDFs,Productivity / PDF
Spaceship,Search domain availability,Web / Domains
Speechify,Listen with celebrity voices,Accessibility / Text-to-Speech
Statsig,Connect to Statsig,Analytics / Experimentation
Sticklight,Create apps and websites,No-code / Development
StraighterLine Degree Planner,Complete your college degree,Education / Higher Ed
Streak,Streak CRM for Gmail,CRM
Stripe,Payments and business tools,Finance / Payments
Strive PDF Generator,Latex to PDF & Math-Worksheet,Education / PDF
SubscriptionFlow,Manage Subscriptions With AI,SaaS / Subscription Management
Third Bridge,Expert-led enhanced insights,Finance / Research
ThoughtSpot Spotter,Your AI data analyst,Analytics / BI
TickerSage,Live Stock & Crypto data,Finance / Markets
Tinman AI,Resolve complex loan scenarios,Finance / Lending
Tuio,Get smart on home insurance,Insurance / Home
Ubersuggest,Find keywords and SEO insights,Marketing / SEO
Udemy,Turn your questions into skill,Education / Online Learning
Upwork,Hire talent with confidence,HR / Freelance Marketplace
VEED Fabric,AI Talking Video Generator,Creative / AI Video
Vercel,Search docs and deploy apps,Developer Tools / Hosting
VibeProspecting,"Find, enrich & win leads",Sales / Prospecting
Wayground,Create Quizzes & Flashcards,Education / Study Tools
Wednesday.app,Find creators and influencers,Marketing / Influencers
Wix,Create your own website,Web Development
ZipRecruiter,Job search made easy,HR / Job Search
Zoom,Smart meeting insights from Zoom,Productivity / Communication
ZoomInfo,B2B Data & GTM Intelligence,Sales / B2B Data
