Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Redemption eligible (product.metafields.app--22258319361--tyb.redemption_eligible),linked color products (product.metafields.custom.linked_color_products),swatch color (product.metafields.custom.swatch_color),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Hair styling tool features (product.metafields.shopify.hair-styling-tool-features),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / India,Price / India,Compare At Price / India,Status
dafni-klix-the-bow-rose-gold-copy-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/dafni_chunkybow_PINK03.jpg?v=1774422705,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-bow-rose-gold-copy-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/dafni_chunkybow_PINK01.jpg?v=1774422705,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-signature-set,The Signature Set,<p>From messy to smooth and styled in a few brush strokes and a click. This kit as all you need to make every hair day a happy hair day.</p>,DAFNI®,Health & Beauty > Personal Care > Hair Care,"","",true,Title,Default Title,,,,,,,,BD3SIG,0.0,shopify,deny,manual,169.00,199.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/1.jpg?v=1771274035,1,"",false,,,486,,,,,,,,,,,,,,,,,,,,,,kg,,,false,,,false,,,active
the-signature-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/about_us.png?v=1771516426,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-signature-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/bow_black.png?v=1774543701,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-signature-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/Product_Pictures_for_Website_1_cf5e810a-92ac-443a-907f-beb8dd14994e.png?v=1774543701,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-signature-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/DAFNI0055_4.jpg?v=1751976776,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-signature-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/DAFNI0043_4.jpg?v=1751976761,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-signature-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/45.png?v=1760687172,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-parisian-set,The Parisian Set,"<p>Style your hair with our DAFNI muse, perfect for creating soft romantic waves and our iconic Bow Klix in the most celebratory colors: rose gold and navy.</p>
<p>Effortless Parisian style in a brush store and a click. </p>",DAFNI®,Uncategorized,"","",true,Title,Default Title,,,,,,,,BD3PARIS,0.0,shopify,deny,manual,169.00,199.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/2.jpg?v=1771273806,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,false,,,false,,,active
the-parisian-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/Product_Pictures_for_Website_5.png?v=1771513347,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-parisian-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/rose_gold_open.jpg?v=1773396063,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-parisian-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/thebowforthesiteopen.png?v=1773396063,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-parisian-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/endless_styles_02_6846a59a-9418-4352-ba69-6f95371eeb98.jpg?v=1764515432,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-urban-edit,The Urban Edit,"<p><meta charset=""utf-8""><meta charset=""utf-8"">Meet <b data-path-to-node=""3"" data-index-in-node=""5"">The Urban Edit</b>: your 4-piece power kit for the girl who treats the sidewalk like a runway. It starts with the <b data-path-to-node=""3"" data-index-in-node=""115"">DAFNI Muse</b>, our narrow smoothing brush that styles everything from short layers to perfect, supple waves with total precision. Add the <b data-path-to-node=""3"" data-index-in-node=""250"">DAFNI Icon (Amber)</b> for all-day control and quick touch-ups that keep you looking flawless through every urban adventure. When you're ready to shift the vibe, snap on your <b data-path-to-node=""3"" data-index-in-node=""421"">KLIX Black Bows</b>—the magnetic finish that amplifies your look in just one click. You might not know where your day ends, but with this edit, you’ll always arrive in style.<br></p>",DAFNI®,Health & Beauty > Personal Care > Hair Care > Hair Care Kits,"","",true,Title,Default Title,,,,,,,,BD4URBAN,0.0,shopify,deny,manual,168.00,198.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/3.jpg?v=1771273631,1,"",false,,,486,,,,,,,,,,,,,,,,,,,,,,kg,,,false,,,false,,,active
the-urban-edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/bow_black.png?v=1774543701,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-urban-edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/endless_styles_03.jpg?v=1764500047,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-urban-edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/57.png?v=1768492455,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-urban-edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/55.png?v=1770573642,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-urban-edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/0011922966343-17.jpg?v=1723640937,6,Styling and Straightening Hair Brush DAFNI Muse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ready-to-go,Ready to go,"<p><meta charset=""utf-8"">Life moves fast, and your hair should too. This kit features <b data-path-to-node=""1"" data-index-in-node=""61"">DAFNI Active</b>, the perfect on-the-go companion for a flawless touch-up on the go. Cordless and powerful, it’s your secret weapon for staying polished between meetings, flights, or gym sessions. Elevate your vibe instantly with <b data-path-to-node=""1"" data-index-in-node=""287"">KLIX Rose Gold Bows</b> for a soft, metallic glow, or keep it effortlessly chic with our <b data-path-to-node=""1"" data-index-in-node=""372"">Minimalist Black</b> clips. No matter where you’re headed, you’re always just one click away from perfection.</p>",DAFNI®,Health & Beauty > Personal Care > Hair Care > Hair Care Kits,"","",true,Title,Default Title,,,,,,,,BD3RTOGO,0.0,shopify,deny,manual,140.00,164.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/4.jpg?v=1771273519,1,"",false,,,486,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,false,,,active
ready-to-go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/DSC_2827.jpg?v=1771514333,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ready-to-go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/rosebowfront.png?v=1773395914,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ready-to-go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/rosebowback.png?v=1773395863,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ready-to-go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/M1A1274.jpg?v=1771514333,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-unlimited,Dafni Unlimited,"<p><meta charset=""utf-8"">The ultimate hair wardrobe has arrived. <b data-path-to-node=""3"" data-index-in-node=""40"">DAFNI Unlimited</b> is our 6-piece master collection designed for every hair type and every possible vibe. Experience the high-velocity smoothing of <b data-path-to-node=""3"" data-index-in-node=""185"">DAFNI Power</b> for those ""rush hour"" mornings, or switch to the <b data-path-to-node=""3"" data-index-in-node=""246"">DAFNI Muse</b> to create the perfect, romantic soft waves. Keep your look sleek and perfectly pulled together with the <b data-path-to-node=""3"" data-index-in-node=""361"">Icon</b> (available in both Black and Amber!), and when you’re ready to celebrate the day, snap on your <b data-path-to-node=""3"" data-index-in-node=""461"">KLIX Bows</b> in Rose Gold or Black. From a flat, chic finish to an amplified, accessorized style, this kit gives you the freedom to be whoever you want to be today.</p>",DAFNI®,Health & Beauty > Personal Care > Hair Care,"","",true,Title,Default Title,,,,,,,,BD6UNLIMITED,0.0,shopify,deny,manual,316.00,372.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/5.jpg?v=1771273264,1,"",false,,,486,,,,,,,,,,,,,,,,,,,,,,kg,,,false,,,false,,,active
dafni-unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/Product_Pictures_for_Website_4.png?v=1771516446,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/bow_black.png?v=1774543701,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/Product_Pictures_for_Website_5.png?v=1771513347,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/57.png?v=1768492455,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/55.png?v=1770573642,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/61.png?v=1770573642,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/endless_styles_01_6472ca4d-b339-47cd-a7ab-be4dcae47696.jpg?v=1764515432,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icon-essentials,Icon Essentials,"<p><img src=""https://cdn.shopify.com/s/files/1/0765/0102/5069/files/Product_Pictures_for_Website_4_3bdcd6c7-2081-478c-93f9-dca54161bec3.png?v=1760683550"" alt=""""></p>",DAFNI®,Uncategorized,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/57.png?v=1768492455,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,false,,,draft
icon-essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/51.png?v=1768492455,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icon-essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/54.png?v=1767640524,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icon-essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/Product_Pictures_for_Website_13.png?v=1760684795,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icon-essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/56.png?v=1757334743,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-icon-amber-copy,DAFNI KLIX - the icon - Amber,"<h3>The world's first magnetic hair clips!</h3>
<ul>
<li>
<strong>Strong Magnetic Hold</strong> – No slipping, no tugging</li>
<li>
<strong>Seamless magnetic</strong> connection, clean design</li>
<li>
<strong>2 Are Better Than 1</strong> – Create looks no ordinary clip can</li>
<li style=""font-weight: bold;""><strong>Endless hairstyles</strong></li>
</ul>
<p style=""font-weight: bold;""><strong>Size: <br></strong>3 cm each piece</p>
<p style=""font-weight: bold;""><strong><iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/5wd22EzrdVA?si=CwTy1Io16n8n6flq"" height=""315"" width=""560""></iframe></strong></p>",DAFNI®,"Apparel & Accessories > Clothing Accessories > Hair Accessories > Hair Pins, Claws & Clips",Klix,"",true,Title,Default Title,,,,,,,,DH3.4KX1.1A,22.6796185,shopify,deny,manual,12.00,12.00,true,true,,,,,'0791689995328,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/50.png?v=1767812962,1,"",false,,,171,,adult,,,,,,,,,,dafni-klix-the-icon-amber-copy; dafni-klix-the-icon-black-copy; dafni-klix-the-icon-turquoise,#74451a,,'1,all-ages; adults; teens,,,,female,,lb,,,true,,,true,,,active
dafni-klix-the-icon-amber-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/55.png?v=1770573642,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-icon-amber-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/61.png?v=1770573642,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-icon-amber-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/58.png?v=1770573642,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-icon-amber-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/60.png?v=1770573642,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-icon-amber-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/63.png?v=1768492455,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-icon-black-copy,DAFNI KLIX - the icon - Black,"<h3>The world's first magnetic hair clips!</h3>
<ul>
<li>
<strong>Strong Magnetic Hold</strong> – No slipping, no tugging</li>
<li>
<strong>Seamless magnetic</strong> connection, clean design</li>
<li>
<strong>2 Are Better Than 1</strong> – Create looks no ordinary clip can</li>
<li style=""font-weight: bold;""><strong>Endless hairstyles</strong></li>
</ul>
<p style=""font-weight: bold;""><strong>Size: <br></strong>3 cm each piece</p>
<p style=""font-weight: bold;""><strong><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/5wd22EzrdVA?si=CwTy1Io16n8n6flq"" title=""YouTube video player""></iframe></strong></p>",DAFNI®,"Apparel & Accessories > Clothing Accessories > Hair Accessories > Hair Pins, Claws & Clips",Klix,"",true,Title,Default Title,,,,,,,,DH3.4KX1.1B,22.6796185,shopify,deny,manual,12.00,12.00,true,true,,,,,'0791689995311,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/51.png?v=1768492455,1,"",false,,,171,,adult,,,,,,,,,,dafni-klix-the-icon-amber-copy; dafni-klix-the-icon-black-copy; dafni-klix-the-icon-turquoise,#111,,'1,all-ages; adults,black,,,female; unisex,,lb,,,true,,,true,,,active
dafni-klix-the-icon-black-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/57.png?v=1768492455,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-icon-black-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/58.png?v=1770573642,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-icon-black-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/60.png?v=1770573642,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-icon-black-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/61.png?v=1770573642,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dafni-klix-the-icon-black-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0765/0102/5069/files/63.png?v=1768492455,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
